year,category,item_name,size,price_min,price_max
2021,"OTC MEDICATIONS, VITAMINS, ETC",Fiber Lax,90 tabs,4.5,4.5
2021,"OTC MEDICATIONS, VITAMINS, ETC",Hemorrhoid Ointment,2 oz,3.2,3.2
2021,"OTC MEDICATIONS, VITAMINS, ETC",Hydrocortisone Cream,1 oz,1.35,1.35
2021,"OTC MEDICATIONS, VITAMINS, ETC",Ibutab-Ibuprofen,24 tabs,1.55,1.55
2021,"OTC MEDICATIONS, VITAMINS, ETC",Laxative-Bisacodyl,25 tabs,1.1,1.1
2021,"OTC MEDICATIONS, VITAMINS, ETC",Loratadine Allergy,30 tabs,1.9,1.9
2021,"OTC MEDICATIONS, VITAMINS, ETC",Milk Thistle,60 tabs,2.7,2.7
2021,"OTC MEDICATIONS, VITAMINS, ETC",Milk of Magnesia,4 oz,2.2,2.2
2021,"OTC MEDICATIONS, VITAMINS, ETC",Nasacort Nasal Spray,,17.0,17.0
2021,"OTC MEDICATIONS, VITAMINS, ETC",Pepto Bismuth,30 tabs,1.85,1.85
2021,"OTC MEDICATIONS, VITAMINS, ETC",Simethicone Anti/Gas,36 tabs,1.2,1.2
2021,"OTC MEDICATIONS, VITAMINS, ETC",Sunscreen-SPF,4 oz,3.0,3.0
2021,"OTC MEDICATIONS, VITAMINS, ETC",Terbinafine Antifungal Crm-.5 oz,,6.6,6.6
2021,"OTC MEDICATIONS, VITAMINS, ETC",Tolnaftate Antifungal Cream-.5 oz,,0.8,0.8
2021,"OTC MEDICATIONS, VITAMINS, ETC",Triple Antibiotic Ointment,1 oz,1.85,1.85
2021,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Amino Acid,100 tabs,3.75,3.75
2021,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-C500 Complex,100 tabs,2.3,2.3
2021,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Calcium,100 tabs,2.25,2.25
2021,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-D,,2.0,2.0
